ИД	ДАТУМ	ЦЛОЗЕ
075aaaef86914a209bc77664a332ba10	2020-02-08	Die Chefin kann nicht [aufhören], sich über meine Arbeit {zu?:zu} beschweren!
8897552c42e14b9995af51f523f2e870	2020-03-28	Deswegen [wollte] ich mich um eine neue Stelle {zu?:} bewerben.
4520e3ebc50f4842bfb24e1b432483b0	2020-03-28	Ich höre den Chef {zu?:} kommen.
4579382b272940ea85234e791f31fd60	2020-03-28	[Hast] du auch [vor], im Urlaub {zu?:zu} verreisen.
a7e9ed221ec840179518055b40c27b90	2020-03-28	Mach eine kurze Pause!\nIch sehe dich die ganze Zeit nur am PC {zu?:} arbeiten!
104d5bce928f44da8cba03fc5113a1f0	2020-03-28	Sag mal, Paul, [hast] du [Lust], mit mir in die Kantine {zu?:zu} gehen?
46b10f0d91004d44a61a1cc9859d0e70	2020-03-28	Ich glaube, ich möchte [versuchen], mein eigenes Projekt {zu?:zu} starten.
d81b6fcb42d84841995de376f535c7c0	2020-03-28	Wie oft muss ich dir das {zu?:} sagen?!\nDas darfst du nicht so {zu?:} machen!\n[Versuche] es anders {zu?:zu} machen!
b44833c58d834e83b8b4170dda08ea40	2020-03-28	Vor der Arbeit geht er immer 5 Kilometer {zu?:} joggen.
af3d1104ec5c4859923f8e07bde3d110	2020-03-28	Ich [habe] keine [Angst], meine Arbeit {zu?:zu} verlieren.
580d04bbbd35464b9b9fb1a7cf1f4370	2020-03-28	Frau Müller, Sie [brauchen] [nicht] weiter {zu?:zu} reden!\nIch verstehe Sie gut!
d41532a3bdb749aea6d7ea21792331e0	2020-03-28	Sie [sollen] nicht weiter {zu?:} reden!
4097e07383bc4492aa2e87462ab70790	2020-03-28	Der Chef [wünscht] [nicht] gestört {zu?:zu} werden.
1f99a863afec4a3f8197161570faced0	2020-03-28	Bei uns in der Firma [darf] man nicht {zu?:} rauchen!
1b407d4ff4e849d1b52ee37e6659cf60	2020-03-28	Ja, es [ist] [verboten], hier {zu?:zu} rauchen.
81eed46a2de14229ae7d4f5f12ae6650	2020-03-28	Ich kann es kaum [erwarten], in Urlaub {zu?:zu} fahren!
7b235e1645704c9f8cdb9d1f691bd650	2020-03-28	Mein Chef will zu viel von mir!\nViele Sachen, die er will, [lassen] sich überhaupt nicht {zu?:} machen.
4d856d85ff0a447c972850fadb8de5a0	2020-03-28	Für meinen Beruf [ist] es [notwendig], gute Fremdsprachenkenntnisse {zu?:zu} haben.
bebe2fa2db80424c81748c04c97f6140	2020-03-28	Ach, Sie sind Frau Müller?\nIch [freue] [mich] sehr, Sie endlich mal kennen {zu?:zu} lernen.\nIch wollte Sie schon längst kennen {zu?:} lernen.
12b5761c11f94d0cb749092cc374d060	2020-03-28	Nein, samstags und sonntags [brauchen] Sie [nicht] {zu?:zu} arbeiten.
c6d58aaa448a4130881fa75c16c24760	2020-03-28	Es [ist] wirklich eine [Freude], in diesem Unternehmen arbeiten {zu?:zu} können.
d83adc28b5534bdd925164c26c4accf0	2020-03-31	Familie Berger [muss] in allen Kisten nach dem Hammer {zu?:} suchen.
bf8ff5b002ff4d8b80bb073acb94ecb0	2020-03-31	Peter und Paul gehen gern zusammen {zu?:} einkaufen.
4630f5f731514a668be6cdeaf9a928c0	2020-03-31	Milan [braucht] heute [nicht] zur Arbeit {zu?:zu} gehen. Er hat frei.
5f4e86fba8bd4e4b9f6268f4442fad60	2020-03-31	Andrea [hat] keine [Zeit], noch {zu?:zu} bleiben.
0560fc1fab6b4bc08b87a47cf9df7e50	2020-03-31	Herr Müller [lässt] sich eine Kreditkarte {zu?:} geben.
0ea9d334a05a44d89008ccc290d44320	2020-03-31	Marc hat [vergessen], das Geschirr {zu?:zu} spülen.
