ИД	ДАТУМ	ГЕРМАНСКИ	ПРЕВОД
b36285a8cc7148f58fabd926d2778270	2020-02-05	Ich war	bio sam
e730c1b507ab4d1b984728680bd3af20	2020-02-05	Du warst	bio si
e5e585f77c5347a282a63311086db6c0	2020-02-05	Er war	bio je
188251337cc7475caf127ff870dc9ac0	2020-02-05	Sie war	bila je
2928e7d0f3024d64a252d08f38c7b390	2020-02-05	Es war	bilo je
40805d943a284bc3a551c827bdc2b650	2020-02-05	Wir waren	bili smo
bac56a88482944a38018e8af13f75f90	2020-02-05	Ihr wart	bili ste(2)
51735b6e883745fd8164d03a66dc5120	2020-02-05	Sie waren	bili su
50caf2d39fa744c1b1d8947edee70520	2020-03-23	Wo war das?	Gde je to bilo?
4d567951434f491eb0ac0f42038883b0	2020-03-23	Wo wart ihr?	Gde ste(2) bili?
08c7c0ccf9a64cbca89aa21138c96770	2020-03-23	Waren Sie da?	Jelte li bili tamo?
