ИД	ВРСТА_КАРТЕ	ПИТАЊЕ	ОДГОВОР	ИЗВОР	ЛИНИЈА
7c2b5cc5ba6c46d0a8bccbaca7329bf0	ОДГОВОР <= ПИТАЊЕ	{Possessivartikel} ich	mein	de_Einweg/извор/Possessivartikel.tsv	2
29f6f7a1dadc4811a3510c000e8672c0	ОДГОВОР <= ПИТАЊЕ	{Possessivartikel} du	dein	de_Einweg/извор/Possessivartikel.tsv	3
e85ce1501314441091c3243469458a40	ОДГОВОР <= ПИТАЊЕ	{Possessivartikel} er	sein	de_Einweg/извор/Possessivartikel.tsv	4
78da2266311349f99a3b95bd723fe6b0	ОДГОВОР <= ПИТАЊЕ	{Possessivartikel} sie	ihr	de_Einweg/извор/Possessivartikel.tsv	5
f66d459efe9e47bba4951708da2493f0	ОДГОВОР <= ПИТАЊЕ	{Possessivartikel} es	sein	de_Einweg/извор/Possessivartikel.tsv	6
a3538d4753e446a78c315210cd13c4b0	ОДГОВОР <= ПИТАЊЕ	{Possessivartikel} wir	unser	de_Einweg/извор/Possessivartikel.tsv	7
b27ad41add1f4df896a015c5609b5e90	ОДГОВОР <= ПИТАЊЕ	{Possessivartikel} ihr	euer	de_Einweg/извор/Possessivartikel.tsv	8
7d520c05545344dabad8099ca0eccde0	ОДГОВОР <= ПИТАЊЕ	{Possessivartikel} Sie	Ihr	de_Einweg/извор/Possessivartikel.tsv	9
4404429924a5418ab8129546a09023b0	ОДГОВОР <= ПИТАЊЕ	es - schön sein - dich wiedersehen	Es ist schön, dich wieder[zu]sehen.	de_Einweg/извор/zu.tsv	2
91b30b9321cb4b4d88970bf113ec8000	ОДГОВОР <= ПИТАЊЕ	ich - versuchen - dich morgen anrufen	Ich versuche, dich morgen an[zu]rufen.	de_Einweg/извор/zu.tsv	3
879069b016e24afea770cf0c4fcc6520	ОДГОВОР <= ПИТАЊЕ	er - Angst haben - Fehler machen	Er hat Angst, Fehler [zu] machen.	de_Einweg/извор/zu.tsv	4
575b2714da4d43d1a841dde3299a0980	ОДГОВОР <= ПИТАЊЕ	es - teuer sein - im Zentrum wohnen	Es ist teuer, im Zentrum [zu] wohnen.	de_Einweg/извор/zu.tsv	5
d406419a2c144f97b816ea984cba6d30	ОДГОВОР <= ПИТАЊЕ	Paul - versuchen möchten - sein altes iPhone verkaufen	Paul möchte versuchen, sein altes iPhone [zu] verkaufen.	de_Einweg/извор/zu.tsv	6
a89c2d61a34d40479073820fc222ecb0	ОДГОВОР <= ПИТАЊЕ	es - langweilig sein - jeden Abend zu Hause bleiben	Es ist langweilig, jeden Abend zu Hause [zu] bleiben.	de_Einweg/извор/zu.tsv	7
73c342598cec417ba51b702c2eaf7d70	ОДГОВОР <= ПИТАЊЕ	ich - keine Lust haben - meine Wohnung aufräumen	Ich habe keine Lust, meine Wohnung auf[zu]räumen.	de_Einweg/извор/zu.tsv	8
832112b7b27c409896caebdbe7a74a60	ОДГОВОР <= ПИТАЊЕ	es - möglich sein - mit Karte bezahlen	Es ist möglich, mit Karte [zu] bezahlen.	de_Einweg/извор/zu.tsv	9
2684742c166a475189c46c1ce03e3ef0	ОДГОВОР <= ПИТАЊЕ	ich - oft vergessen - die Tür abschließen	Ich vergesse oft, die Tür ab[zu]schließen.	de_Einweg/извор/zu.tsv	10
3eece54d177e404f894d11beb67dbdb0	ОДГОВОР <= ПИТАЊЕ	es - wichtig sein - Hausaufgaben machen	Es ist wichtig, Hausaufgaben [zu] machen.	de_Einweg/извор/zu.tsv	11
c4715458caf04aaa962c55006fd61be0	ОДГОВОР <= ПИТАЊЕ	Marko - keine Zeit haben - ins Fitnessstudio gehen	Marko hat keine Zeit, ins Fitnessstudio [zu] gehen.	de_Einweg/извор/zu.tsv	12
236b02dd1f994cdf853bd1b708d6e540	ОДГОВОР <= ПИТАЊЕ	es - gefährlich sein - bei Schnee so schnell fahren	Es ist gefährlich, bei Schnee so schnell [zu] fahren.	de_Einweg/извор/zu.tsv	13
4976a1b5671f47d7ab90934f9b9684a0	ОДГОВОР <= ПИТАЊЕ	ich - es interessant finden - fremde Länder kennenlernen	Ich finde es interessant, fremde Länder kennen[zu]lernen.	de_Einweg/извор/zu.tsv	14
c85a9e8e995b4d56840e6a90eaa598f0	ОДГОВОР <= ПИТАЊЕ	ich - es wichtig finden - das Referat gut vorbereiten	Ich finde es wichtig, das Referat gut vor[zu]bereiten.	de_Einweg/извор/zu.tsv	15
a03c5b2924844f15881a06b354813130	ОДГОВОР <= ПИТАЊЕ	es - manchmal extrem schwer sein - eine gute Arbeitsstelle bekommen	Es ist manchmal extrem schwer, eine gute Arbeitsstelle [zu] bekommen.	de_Einweg/извор/zu.tsv	16
84c9a70b737d4fe297e985fdeb0126d0	ОДГОВОР <= ПИТАЊЕ	wir - am Freitagabend vorhaben - ins Kino gehen	Wir haben am Freitagabend vor, ins Kino [zu] gehen.	de_Einweg/извор/zu.tsv	17
723d2961865d4f1aa6159a0d9dac88c0	ОДГОВОР <= ПИТАЊЕ	ich - es dumm finden - jeden Tag viel fernsehen	Ich finde es dumm, jeden Tag viel fern[zu]sehen.	de_Einweg/извор/zu.tsv	18
be57ee91550d404180bdcf1431214010	ОДГОВОР <= ПИТАЊЕ	ich - Lust haben (Konjunktiv!) - in die USA auswandern	Ich hätte Lust, in die USA aus[zu]wandern.	de_Einweg/извор/zu.tsv	19
9cc35f83151d45ab819303b6154a2500	ОДГОВОР <= ПИТАЊЕ	ich - bereit sein (Konjunktiv!) - dir helfen	Ich wäre bereit, dir [zu] helfen.	de_Einweg/извор/zu.tsv	20
6dd4e9a6eff5463fac98c5ccca26a470	ОДГОВОР <= ПИТАЊЕ	Erik - planen - in London studieren	Erik plant, in London [zu] studieren.	de_Einweg/извор/zu.tsv	21
38b6f5dc816541d383510ef5a05a6620	ОДГОВОР <= ПИТАЊЕ	es - interessant sein - mit Quizlet üben	Es ist interessant, mit Quizlet [zu] üben.	de_Einweg/извор/zu.tsv	22
4f46cb4773b6439a852654064fbf94e0	ОДГОВОР <= ПИТАЊЕ	es - sehr wichtig sein - Fremdsprachen lernen	Es ist sehr wichtig, Fremdsprachen [zu] lernen.	de_Einweg/извор/zu.tsv	23
