ИД	ДАТУМ	ГЕРМАНСКИ	ПРЕВОД
088439ed1db9420faab02b59a8ead080	2020-05-01	Ein Hund rennt.	A dog is running.
5641b6890a874a769e9cfc9993cc6710	2020-05-01	Eine Katze rennt.	A cat is running.
84934bb09f8943f3b57020292304d140	2020-05-01	Ein Pferd rennt.	A horse is running.

9303d691d72c4a52af644e26cd97da80	2020-05-01	Er lacht wegen eines Hundes.	He laughs because of a dog.
b6db798d825f452b9c8203fa275e5cb0	2020-05-01	Sie lacht wegen einer Katze.	She laughs because of a cat.
2108f849841644559cfb7b33f42211b0	2020-05-01	Es lacht wegen eines Pferdes.	It laughs because of a horse.

fe7f6403347e4f16a7a4ac34357dbd70	2020-05-01	Er spielt mit einem Hund.	He plays with a dog.
893edbe75f924a8e877a6116c9439090	2020-05-01	Sie spielt mit einer Katze.	She plays with a cat.
517252d849fd4d7b9d130a9bbe8120a0	2020-05-01	Es spielt mit einem Pferd.	It plays with a horse.

2171d2feba9041319be4212f7bec1d40	2020-05-01	Er küsst einen Hund.	He kisses a dog.
b9a2ad3e0b8f4e86a84feea911c8d930	2020-05-01	Sie küsst eine Katze.	She kisses a cat.
d145a7e751c24c8782e93ae456390640	2020-05-01	Es küsst ein Pferd.	It kisses a horse.

d0b89946306a460b97ea7cdb0b0f4ff0	2020-05-01	Ein weißer Hund.	A white dog.
e00f649429604bc8943f157f00fea350	2020-05-01	Eine weiße Katze.	A white cat.
78e0b805297742079f2587f3513276e0	2020-05-01	Ein weißes Pferd.	A white horse.

b78fd774f79f402481843dbaf21e5d70	2020-05-01	Er lacht wegen eines weißen Hundes.	He laughs because of a white dog.
89994692f519431c958887756731b2c0	2020-05-01	Sie lacht wegen einer weißen Katze.	She laughs because of a white cat.
02a6acdfa8a24cb599593333cad4ba90	2020-05-01	Es lacht wegen eines weißen Pferdes.	It laughs because of a white horse.

d22bd88271cf44f59543c2aa49226460	2020-05-01	Er spielt mit einem weißen Hund.	He plays with a white dog.
c2d2275982ea414c967d2596d7e15570	2020-05-01	Sie spielt mit einer weißen Katze.	She plays with a white cat.
f6892d29c4024c2085ee27e83e0cec30	2020-05-01	Es spielt mit einem weißen Pferd.	It plays with a white horse.

c20906c3f00c4d0f887f6513e6f26970	2020-05-01	Er küsst einen weißen Hund.	He kisses a white dog.
d622a949f4b6438fbf58910d69e9c310	2020-05-01	Sie küsst eine weiße Katze.	She kisses a white cat.
869482f79e45496c8e0f599c84faab00	2020-05-01	Es küsst ein weißes Pferd.	It kisses a white horse.
